         1 #dgplot -q -b runG.dg periodG/periodG.root | grep '+' | awk 'NF>10{print $0}'
 batch: root/] #dgplot -q -b runG.dg periodG/periodG.root | grep '+' | awk 'NF>10{print $0}'
0.2256 +/- 0.0410053 RAW: 383 + 242 = 625; 165591 147.542 SCALED: 2.59587 + 1.64021 = 4.23608
0.233886 +/- 0.0220361 RAW: 1340 + 832 = 2172; 165632 534.38 SCALED: 2.50758 + 1.55694 = 4.06452
0.161125 +/- 0.0512244 RAW: 227 + 164 = 391; 165703 87.5158 SCALED: 2.59382 + 1.87395 = 4.46776
0.223622 +/- 0.016601 RAW: 2331 + 1479 = 3810; 165732 902.983 SCALED: 2.58144 + 1.6379 = 4.21935
0.187434 +/- 0.0165308 RAW: 2249 + 1539 = 3788; 165767 922.978 SCALED: 2.43668 + 1.66743 = 4.10411
0.206581 +/- 0.0436597 RAW: 330 + 217 = 547; 165815 131.366 SCALED: 2.51206 + 1.65187 = 4.16392
0 +/- 0 RAW: 1 + 3 = 4; 165817 0.233098 SCALED: 4.29004 + 12.8701 = 17.1602
0.220524 +/- 0.0338348 RAW: 559 + 357 = 916; 165818 213.741 SCALED: 2.61531 + 1.67025 = 4.28556
0.246243 +/- 0.0350167 RAW: 539 + 326 = 865; 165821 211.116 SCALED: 2.5531 + 1.54418 = 4.09728
0.234323 +/- 0.0417226 RAW: 374 + 232 = 606; 165954 151.722 SCALED: 2.46504 + 1.52911 = 3.99415
0.183879 +/- 0.05103 RAW: 235 + 162 = 397; 165956 90.6538 SCALED: 2.59228 + 1.78702 = 4.3793
0.167364 +/- 0.0327921 RAW: 558 + 398 = 956; 166097 231.127 SCALED: 2.41426 + 1.722 = 4.13625
0.238653 +/- 0.0196693 RAW: 1692 + 1040 = 2732; 166142 649.589 SCALED: 2.60473 + 1.60101 = 4.20574
0.250245 +/- 0.0322926 RAW: 637 + 382 = 1019; 166143 254.094 SCALED: 2.50695 + 1.50338 = 4.01033
0.231374 +/- 0.0147659 RAW: 2975 + 1857 = 4832; 166198 1209.44 SCALED: 2.45981 + 1.53542 = 3.99523
